no,nim,kdjur,nmjur,nem,sks,status,ipk,kdsla,nmsla
4911,1.50E+12,51,ILMU HUKUM,41.1,91,0,2.63,810010,"SMAN 78, Bogor"
4912,3.28E+11,11,MANAJEMEN,41.4,91,0,2.67,31743861,"SMA Sang Timur, Kebon Jeruk"
4913,3.28E+11,11,MANAJEMEN,42.45,91,0,1.94,31743862,"SMA Pelita 2, Duri Kepa"
4914,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,43.2,91,0,3.52,31744065,"SMA Bunda Hati Kudus, Jelambar"
4915,2.09E+12,71,PENDIDIKAN DOKTER,43.8,91,0,3.24,31853003,"SMA Kolose Loyola, Semarang"
4916,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,43.85,91,0,3.12,19520002,"SMA Immanuel, Pontianak"
4917,3.28E+11,11,MANAJEMEN,44.35,91,0,1.62,33320007,"SMA Islam Al-Azhar, BSD Serpong"
4918,3.28E+11,11,MANAJEMEN,44.5,91,0,2.37,31743858,"SMAK 4 BPK Penabur, Kedoya"
4919,2.09E+12,71,PENDIDIKAN DOKTER,44.5,91,0,3.3,31840025,"SMA Tarakanita 3, Gading Serpong"
4920,2.09E+12,71,PENDIDIKAN DOKTER,44.9,91,0,3.3,3720004,"SMA Regina Pacis, Surakarta, Jawa Tengah"
4921,1.21E+12,41,ILMU KOMUNIKASI,45,91,0,3.37,31753888,"SMA Permai, Pluit"
4922,3.28E+11,11,MANAJEMEN,45.2,91,0,3.19,33320066,"UPH College, Karawaci"
4923,2.09E+12,71,PENDIDIKAN DOKTER,45.3,91,0,3.52,31724420,"SMA Lab School, Rawamangun"
4924,1.50E+12,51,ILMU HUKUM,45.6,91,0,2.82,33320036,"SMA Atisa Dipamkara, Karawaci"
4925,9.73E+11,33,TEKNIK INDUSTRI,45.75,91,0,2.96,31418002,"SMAK 1 BPK Penabur, Lampung"
4926,1.50E+12,51,ILMU HUKUM,45.8,91,0,2.89,31710207,"SMAN 70, Bulungan"
4927,9.73E+11,33,TEKNIK INDUSTRI,45.8,91,0,2.62,31841004,"SMA Pelita Harapan, Sentul"
4928,3.28E+11,11,MANAJEMEN,45.9,91,0,2.54,1320013,"SMA Global Prestasi, Kalimalang, Bekasi"
4929,3.28E+11,11,MANAJEMEN,45.9,91,0,2.94,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
4930,9.43E+11,32,TEKNIK ELEKTRO,46.2,91,0,3.21,22520003,SMA KRISTEN SUNODIA
4931,3.28E+11,11,MANAJEMEN,46.2,91,0,3.12,31862001,"SMA Kolose St. Yusuf, Malang"
4932,2.09E+12,71,PENDIDIKAN DOKTER,46.2,91,0,3.6,3920003,"SMA Sedes Sapientiae, Jambu"
4933,2.41E+12,82,TEKNIK INFORMATIKA,46.25,91,0,2.42,22410001,"SMA Negeri 1, Tanjung, Tabalong-KalSel"
4934,2.09E+12,71,PENDIDIKAN DOKTER,46.3,91,0,3.41,33320065,"SMA BPK Penabur, Bintaro Jaya"
4935,2.09E+12,71,PENDIDIKAN DOKTER,46.4,91,0,3.43,31753886,"SMA Gandhi School, Pangandaran Ancol"
4936,1.79E+12,61,SENI MUSIK,46.4,91,0,2.98,31840001,"SMA Tarsisius Vireta, Tangerang"
4937,1.50E+12,51,ILMU HUKUM,46.4,91,0,3.01,620011,"SMUI Al-Azhar, Kelapa Gading"
4938,2.09E+12,71,PENDIDIKAN DOKTER,46.6,91,0,3.25,31744976,"SMA Kalam Kudus 3, Green Garden"
4939,2.09E+12,71,PENDIDIKAN DOKTER,46.6,91,0,3.38,31840006,"SMAK Penabur Gading Serpong, Tangerang"
4940,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,46.65,91,0,3,33320065,"SMA BPK Penabur, Bintaro Jaya"
4941,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,46.7,91,0,3.47,31744131,"SMA Katolik Ricci, Kemenangan"
4942,3.32E+12,113,BIOLOGI,46.7,91,0,2.99,31853006,"SMA Karang Turi, Semarang"
4943,1.50E+12,51,ILMU HUKUM,46.8,91,0,3.18,220002,"SMA Islam Al-Izhar, Pondok Labu"
4944,1.79E+12,61,SENI MUSIK,46.9,91,0,2.72,220012,Home Schooling Kak Seto
4945,2.09E+12,71,PENDIDIKAN DOKTER,46.9,91,0,3.52,24420003,"SMA Dian Harapan, Makasar"
4946,2.09E+12,71,PENDIDIKAN DOKTER,46.9,91,0,3.56,31413001,"SMA St. Maria, Riau"
4947,2.41E+12,82,TEKNIK INFORMATIKA,47,91,0,2.82,1320009,"SMA IIBS Republic of Indonesia, Cikarang"
4948,6.21E+11,21,TEKNIK SIPIL,47.1,91,0,1.06,31412006,"SMA Harapan, Medan"
4949,2.09E+12,71,PENDIDIKAN DOKTER,47.2,91,0,3.53,31713848,"SMA Islam Al-Azhar 2, Pejaten Barat"
4950,6.21E+11,21,TEKNIK SIPIL,47.2,91,0,3.58,33320066,"UPH College, Karawaci"
4951,2.09E+12,71,PENDIDIKAN DOKTER,47.4,91,0,3.47,31743819,"SMA Ipeka Puri, Kembangan Selatan"
4952,2.09E+12,71,PENDIDIKAN DOKTER,47.6,91,0,3.28,31415002,"SMA Xaverius, Jambi"
4953,2.09E+12,71,PENDIDIKAN DOKTER,47.7,91,0,3.47,31418001,"SMA Xaverius, Tanjung Karang"
4954,2.09E+12,71,PENDIDIKAN DOKTER,47.8,91,0,3.43,31862001,"SMA Kolose St. Yusuf, Malang"
4955,2.09E+12,71,PENDIDIKAN DOKTER,47.8,91,0,3.47,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
4956,1.00E+12,34,TEKNOLOGI PANGAN,47.85,91,0,3.04,620020,"SMAK IPEKA, Pluit Jakarta Utara"
4957,3.28E+11,11,MANAJEMEN,47.9,91,0,3.37,31753834,"SMA Stella Maris, Pejagalan"
4958,2.09E+12,71,PENDIDIKAN DOKTER,47.9,91,0,3.45,31840006,"SMAK Penabur Gading Serpong, Tangerang"
4959,2.09E+12,71,PENDIDIKAN DOKTER,47.9,91,0,3.24,31875002,"SMAN 1, Samarinda"
4960,2.09E+12,71,PENDIDIKAN DOKTER,48.1,91,0,3.37,19520002,"SMA Immanuel, Pontianak"
4961,2.09E+12,71,PENDIDIKAN DOKTER,48.2,91,0,3.39,31840006,"SMAK Penabur Gading Serpong, Tangerang"
4962,3.28E+11,11,MANAJEMEN,48.2,91,0,2.28,520010,"SMA Kristen Tiara Kasih, Cengkareng"
4963,1.79E+12,61,SENI MUSIK,48.3,91,0,2.81,17720010,"SMA Methodist 3, Palembang"
4964,2.09E+12,71,PENDIDIKAN DOKTER,48.3,91,0,3.55,31734384,"SMA St. Ursula 1, Pasar Baru"
4965,2.09E+12,71,PENDIDIKAN DOKTER,48.3,91,0,3.43,31744233,"SMAK 1 BPK Penabur, Tanjung Duren"
4966,7.38E+11,25,DESAIN PRODUK,48.4,91,0,3.46,33320066,"UPH College, Karawaci"
4967,2.09E+12,71,PENDIDIKAN DOKTER,48.5,91,0,3.32,31843004,"SMA St. Aloysius, Bandung"
4968,1.21E+12,41,ILMU KOMUNIKASI,48.6,91,0,3.21,31853006,"SMA Karang Turi, Semarang"
4969,2.09E+12,71,PENDIDIKAN DOKTER,48.7,91,0,3.61,31840006,"SMAK Penabur Gading Serpong, Tangerang"
4970,2.09E+12,71,PENDIDIKAN DOKTER,48.7,91,0,3.58,3720004,"SMA Regina Pacis, Surakarta, Jawa Tengah"
4971,2.09E+12,71,PENDIDIKAN DOKTER,48.8,91,0,3.47,31416001,"SMA Xaverius 1, Palembang"
4972,3.28E+11,11,MANAJEMEN,48.85,91,0,2.74,820002,"SMA Dwi Warna, Bogor"
4973,2.09E+12,71,PENDIDIKAN DOKTER,48.9,91,0,3.37,3220002,"SMA Ignatius Slamet Riyadi, Karawang"
4974,3.57E+11,12,AKUNTANSI,48.9,91,0,3.01,520001,"SMA St. Kristoforus 2, Perum Taman Lestari"
4975,2.09E+12,71,PENDIDIKAN DOKTER,48.9,91,0,3.47,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
4976,2.09E+12,71,PENDIDIKAN DOKTER,49.3,91,0,3.52,31840010,"SMAN 2, Tangerang"
4977,1.50E+12,51,ILMU HUKUM,49.3,91,0,2.83,31861010,"SMA Stanislaus , Surabaya"
4978,1.00E+12,34,TEKNOLOGI PANGAN,49.35,91,0,3.49,620020,"SMAK IPEKA, Pluit Jakarta Utara"
4979,3.28E+11,11,MANAJEMEN,49.4,91,0,3.3,19520002,"SMA Immanuel, Pontianak"
4980,1.50E+12,51,ILMU HUKUM,49.5,91,0,3.08,31734345,"SMA Perg. Advent 1, Kramat Pulo"
4981,2.09E+12,71,PENDIDIKAN DOKTER,49.5,91,0,3.5,31862001,"SMA Kolose St. Yusuf, Malang"
4982,2.09E+12,71,PENDIDIKAN DOKTER,49.6,91,0,3.25,31416009,"SMA Kusuma Bangsa, Palembang"
4983,2.09E+12,71,PENDIDIKAN DOKTER,49.6,91,0,3.46,31743819,"SMA Ipeka Puri, Kembangan Selatan"
4984,2.09E+12,71,PENDIDIKAN DOKTER,49.7,91,0,3.7,17920001,"SMA Xaverius, Lubuk Linggau , Sumatera Selatan"
4985,2.09E+12,71,PENDIDIKAN DOKTER,49.9,91,0,3.41,620029,"SMA Mahatma Gading, Jak-Ut"
4986,2.09E+12,71,PENDIDIKAN DOKTER,50,91,0,3.36,31413001,"SMA St. Maria, Riau"
4987,2.09E+12,71,PENDIDIKAN DOKTER,50,91,0,3.8,31416001,"SMA Xaverius 1, Palembang"
4988,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,50.1,91,0,3.25,31418001,"SMA Xaverius, Tanjung Karang"
4989,3.28E+11,11,MANAJEMEN,50.1,91,0,3.12,31840022,"SMA Pembangunan Jaya, Tangerang"
4990,2.09E+12,71,PENDIDIKAN DOKTER,50.2,91,0,3.4,33320027,"SMA Citra Kasih, Cimone, Tangerang"
4991,2.09E+12,71,PENDIDIKAN DOKTER,50.2,91,0,3.4,33320057,"SMA Bina Nusantara, Serpong"
4992,2.09E+12,71,PENDIDIKAN DOKTER,50.3,91,0,3.43,31415002,"SMA Xaverius, Jambi"
4993,2.09E+12,71,PENDIDIKAN DOKTER,50.4,91,0,3.57,31840005,"SMA St. Laurensia , Tangerang"
4994,2.09E+12,71,PENDIDIKAN DOKTER,50.4,91,0,3.54,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
4995,2.09E+12,71,PENDIDIKAN DOKTER,50.4,91,0,3.5,620029,"SMA Mahatma Gading, Jak-Ut"
4996,2.09E+12,71,PENDIDIKAN DOKTER,50.7,91,0,3.4,31840004,"SMA St. Ursula 2, Tangerang"
4997,2.09E+12,71,PENDIDIKAN DOKTER,50.7,91,0,3.43,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
4998,3.28E+11,11,MANAJEMEN,50.8,91,0,3.28,31853006,"SMA Karang Turi, Semarang"
4999,2.09E+12,71,PENDIDIKAN DOKTER,50.8,91,0,3.52,31862004,"SMA Cor Jesu, Malang"
5000,2.09E+12,71,PENDIDIKAN DOKTER,50.9,91,0,3.5,31743858,"SMAK 4 BPK Penabur, Kedoya"
5001,2.09E+12,71,PENDIDIKAN DOKTER,50.9,91,0,3.66,31753886,"SMA Gandhi School, Pangandaran Ancol"
5002,2.09E+12,71,PENDIDIKAN DOKTER,51,91,0,3.53,31418001,"SMA Xaverius, Tanjung Karang"
5003,2.09E+12,71,PENDIDIKAN DOKTER,51,91,0,3.35,31862001,"SMA Kolose St. Yusuf, Malang"
5004,9.43E+11,32,TEKNIK ELEKTRO,51,91,0,3.57,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
5005,2.09E+12,71,PENDIDIKAN DOKTER,51.3,91,0,3.09,28210004,"SMAN 4, Singaraja, Bali"
5006,2.09E+12,71,PENDIDIKAN DOKTER,51.3,91,0,3.46,31415002,"SMA Xaverius, Jambi"
5007,2.09E+12,71,PENDIDIKAN DOKTER,51.3,91,0,3.46,31418001,"SMA Xaverius, Tanjung Karang"
5008,2.09E+12,71,PENDIDIKAN DOKTER,51.3,91,0,3.58,31840006,"SMAK Penabur Gading Serpong, Tangerang"
5009,2.09E+12,71,PENDIDIKAN DOKTER,51.35,91,0,3.58,420014,SMA Mahatma Gandhi
5010,2.09E+12,71,PENDIDIKAN DOKTER,51.4,91,0,3.47,31416009,"SMA Kusuma Bangsa, Palembang"
5011,2.09E+12,71,PENDIDIKAN DOKTER,51.4,91,0,3.4,31744233,"SMAK 1 BPK Penabur, Tanjung Duren"
5012,2.09E+12,71,PENDIDIKAN DOKTER,51.4,91,0,3.54,31840006,"SMAK Penabur Gading Serpong, Tangerang"
5013,2.09E+12,71,PENDIDIKAN DOKTER,51.6,91,0,3.57,31753832,"SMA Methodist, Pejagalan"
5014,2.09E+12,71,PENDIDIKAN DOKTER,51.6,91,0,3.47,31861005,"SMA Frateran, Surabaya"
5015,3.28E+11,11,MANAJEMEN,51.8,91,0,3.83,31743819,"SMA Ipeka Puri, Kembangan Selatan"
5016,2.09E+12,71,PENDIDIKAN DOKTER,52.1,91,0,3.63,23220010,"MANADO INTERNATIONAL SCHOOL, MANADO"
5017,2.09E+12,71,PENDIDIKAN DOKTER,52.1,91,0,3.45,31743819,"SMA Ipeka Puri, Kembangan Selatan"
5018,2.09E+12,71,PENDIDIKAN DOKTER,52.2,91,0,3.46,31861004,"SMA St. Louis 1, Surabaya"
5019,2.09E+12,71,PENDIDIKAN DOKTER,52.2,91,0,3.37,720004,"SMA Aloysius 2, Bandung"
5020,2.09E+12,71,PENDIDIKAN DOKTER,52.3,91,0,3.52,19520002,"SMA Immanuel, Pontianak"
5021,2.09E+12,71,PENDIDIKAN DOKTER,52.3,91,0,3.63,31862004,"SMA Cor Jesu, Malang"
5022,2.09E+12,71,PENDIDIKAN DOKTER,52.3,91,0,3.7,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
5023,2.44E+12,83,SISTEM KOMPUTER,52.4,91,0,3.67,33320066,"UPH College, Karawaci"
5024,2.09E+12,71,PENDIDIKAN DOKTER,52.7,91,0,3.5,31840006,"SMAK Penabur Gading Serpong, Tangerang"
5025,2.09E+12,71,PENDIDIKAN DOKTER,52.7,91,0,3.48,33320019,"SMA Global Jaya, Tangerang"
5026,9.73E+11,33,TEKNIK INDUSTRI,52.8,91,0,3.33,31412002,"SMA Sutomo 1, Medan"
5027,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,52.9,91,0,3.75,31840021,"SMA Mater Dei, Pamulang"
5028,2.09E+12,71,PENDIDIKAN DOKTER,53.2,91,0,3.35,33320036,"SMA Atisa Dipamkara, Karawaci"
5029,3.28E+11,11,MANAJEMEN,53.3,91,0,2.78,820004,"SMA Bina Insani, Bogor"
5030,2.09E+12,71,PENDIDIKAN DOKTER,53.5,91,0,3.53,16120007,"SMA Kusuma, PekanBaru"
5031,2.09E+12,71,PENDIDIKAN DOKTER,53.7,91,0,3.26,24410008,"SMAN 1, Rantepao"
5032,2.09E+12,71,PENDIDIKAN DOKTER,53.9,91,0,3.46,9520001,"SMA St. Paulus, Jember"
5033,2.09E+12,71,PENDIDIKAN DOKTER,54,91,0,3.55,31854004,"SMA Tarakanita, Magelang"
5034,2.09E+12,71,PENDIDIKAN DOKTER,54.2,91,0,3.65,31710045,"SMAN 8, Bukit Duri"
5035,1.27E+12,43,HUBUNGAN INTERNASIONAL,54.8,91,0,3.9,31743819,"SMA Ipeka Puri, Kembangan Selatan"
5036,2.09E+12,71,PENDIDIKAN DOKTER,55.2,91,0,3.7,31877002,"SMA Rajawali, Ujung Pandang"
5037,2.09E+12,71,PENDIDIKAN DOKTER,55.2,91,0,3.66,3920005,"SMA KRISTEN TRI TUNGGAL, SEMARANG"
5042,2.41E+12,82,TEKNIK INFORMATIKA,37.3,92,0,2.41,33320066,"UPH College, Karawaci"
5043,3.28E+11,11,MANAJEMEN,38,92,0,2.47,31753787,"SMA Jubele, Sunter Agung"
5044,3.28E+11,11,MANAJEMEN,40.3,92,0,2.66,31743860,"SMA Kemurnian 2, Duri Kepa"
5045,2.38E+12,81,SISTEM INFORMASI,40.75,92,0,2.43,31840008,"SMA Dian Harapan, Tangerang"
5046,7.38E+11,25,DESAIN PRODUK,41.55,92,0,3.09,33320066,"UPH College, Karawaci"
5047,3.28E+11,11,MANAJEMEN,41.7,92,0,2.94,3920005,"SMA KRISTEN TRI TUNGGAL, SEMARANG"
5048,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,43,92,0,3.15,31743858,"SMAK 4 BPK Penabur, Kedoya"
5049,1.00E+12,34,TEKNOLOGI PANGAN,43.9,92,0,3.31,33320066,"UPH College, Karawaci"
5050,1.50E+12,51,ILMU HUKUM,44.1,92,0,2.88,31710022,"SMAN 3, Setiabudi"
5051,3.28E+11,11,MANAJEMEN,44.6,92,0,2.83,31740008,"SMAN 94, Semanan"
5052,3.28E+11,11,MANAJEMEN,44.8,92,0,3.08,31840024,"SMA Stella Maris, BSD Serpong"
5053,1.00E+12,34,TEKNOLOGI PANGAN,45.1,92,0,3.43,1320029,"SMA Marsudirini, Bekasi"
5054,1.79E+12,61,SENI MUSIK,45.2,92,0,2.76,31714655,"SMA Don Bosco Seruni, Pondok Indah"
5055,3.28E+11,11,MANAJEMEN,45.3,92,0,2.98,31714325,"SMA Tarakanita 1, Kebayoran Baru"
5056,6.50E+11,22,ARSITEKTUR,45.45,92,0,2.32,31840006,"SMAK Penabur Gading Serpong, Tangerang"
5057,3.28E+11,11,MANAJEMEN,45.7,92,0,3.38,31753886,"SMA Gandhi School, Pangandaran Ancol"
5058,1.21E+12,41,ILMU KOMUNIKASI,46.1,92,0,3.04,31753787,"SMA Jubele, Sunter Agung"
5059,1.50E+12,51,ILMU HUKUM,46.2,92,0,3.34,33320019,"SMA Global Jaya, Tangerang"
5060,3.28E+11,11,MANAJEMEN,46.6,92,0,2.56,36410001,"SMAN 1, Ranah Batahan, Pasaman Barat"
5061,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,46.8,92,0,3.15,31753886,"SMA Gandhi School, Pangandaran Ancol"
5062,3.57E+11,12,AKUNTANSI,46.9,92,0,3.53,31840025,"SMA Tarakanita 3, Gading Serpong"
5063,7.09E+11,24,DESAIN INTERIOR,47.35,92,0,2.45,33320050,"SMA St. John, BSD Tangerang"
5064,1.27E+12,43,HUBUNGAN INTERNASIONAL,47.4,92,0,2.57,1320004,"SMA Tunas Jaka Sampurna, Bekasi"
5065,3.28E+11,11,MANAJEMEN,47.6,92,0,2.06,33420002,"SMA Islam Al-Azhar 6, Serang"
5066,3.28E+11,11,MANAJEMEN,47.8,92,0,2.73,31713868,"SMA Lab School, Kebayoran"
5067,1.79E+12,61,SENI MUSIK,48,92,0,2.94,31714244,"SMA Pangudi Luhur, Kebayoran Baru"
5068,3.28E+11,11,MANAJEMEN,48.2,92,0,2.87,33320061,"SMA Pahoa, Gading Serpong"
5069,1.50E+12,51,ILMU HUKUM,48.3,92,0,3.22,220002,"SMA Islam Al-Izhar, Pondok Labu"
5070,6.21E+11,21,TEKNIK SIPIL,48.45,92,0,1.57,16110009,"SMAN 1,Pekanbaru"
5071,3.28E+11,11,MANAJEMEN,48.5,92,0,3.59,31753888,"SMA Permai, Pluit"
5072,3.28E+11,11,MANAJEMEN,48.6,92,0,2.8,23220002,"SMA MIS, Manado"
5073,1.00E+12,34,TEKNOLOGI PANGAN,48.7,92,0,3.66,3720004,"SMA Regina Pacis, Surakarta, Jawa Tengah"
5074,3.57E+11,12,AKUNTANSI,48.8,92,0,3.74,31753889,"SMA St. Yakobus, Pengangsaan"
5075,6.21E+11,21,TEKNIK SIPIL,49.1,92,0,3.14,31744985,"SMA Ipeka Green Ville, Tomang"
5076,7.09E+11,24,DESAIN INTERIOR,49.45,92,0,2.79,31416009,"SMA Kusuma Bangsa, Palembang"
5077,1.79E+12,61,SENI MUSIK,49.5,92,0,3.67,33320066,"UPH College, Karawaci"
5078,3.28E+11,11,MANAJEMEN,49.7,92,0,2.92,31418001,"SMA Xaverius, Tanjung Karang"
5079,3.55E+12,121,PSIKOLOGI,50,92,0,2.68,33320052,"SMA Pramita, Tangerang"
5080,3.28E+11,11,MANAJEMEN,50.1,92,0,3.84,33320066,"UPH College, Karawaci"
5081,1.50E+12,51,ILMU HUKUM,50.2,92,0,3.77,33310011,"SMAN 1, Curug"
5082,3.28E+11,11,MANAJEMEN,50.9,92,0,3.3,31743860,"SMA Kemurnian 2, Duri Kepa"
5083,3.28E+11,11,MANAJEMEN,51.5,92,0,3.47,31853006,"SMA Karang Turi, Semarang"
5084,6.21E+11,21,TEKNIK SIPIL,51.8,92,0,3.22,31744233,"SMAK 1 BPK Penabur, Tanjung Duren"
5085,3.28E+11,11,MANAJEMEN,51.8,92,0,3.08,320015,"Springfield International Curriculum, Depok"
5086,1.27E+12,43,HUBUNGAN INTERNASIONAL,51.9,92,0,2.98,31412003,"SMAN 1, Medan"
5087,9.73E+11,33,TEKNIK INDUSTRI,52.05,92,0,3.81,31845002,"SMAK 1 BPK Penabur, Sukabumi"
5088,3.28E+11,11,MANAJEMEN,52.1,92,0,3.06,31753787,"SMA Jubele, Sunter Agung"
5089,1.50E+12,51,ILMU HUKUM,55.5,92,0,3.55,12820001,"SMA Methodist 2, Medan"
5090,2.09E+12,71,PENDIDIKAN DOKTER,59.6,92,0,3.06,33320050,"SMA St. John, BSD Tangerang"
5093,1.21E+12,41,ILMU KOMUNIKASI,32.7,93,0,3.34,33320053,SMK Santa Laurensia
5094,3.28E+11,11,MANAJEMEN,40.1,93,0,2.17,31754091,"SMA Tarakanita 2, Pluit"
5095,9.73E+11,33,TEKNIK INDUSTRI,40.15,93,0,2.96,31743855,"SMA Ketapang 2, Kedoya Utara"
5096,3.28E+11,11,MANAJEMEN,41.9,93,0,2.52,33320066,"UPH College, Karawaci"
5097,6.21E+11,21,TEKNIK SIPIL,42.7,93,0,3.21,820026,"SMA Saint Enoch, Jonggol, Bogor"
5098,1.21E+12,41,ILMU KOMUNIKASI,42.8,93,0,2.94,31744985,"SMA Ipeka Green Ville, Tomang"
5099,3.28E+11,11,MANAJEMEN,43.3,93,0,2.45,31415002,"SMA Xaverius, Jambi"
5100,3.28E+11,11,MANAJEMEN,43.6,93,0,1.88,24420003,"SMA Dian Harapan, Makasar"
5101,1.50E+12,51,ILMU HUKUM,43.65,93,0,2.93,31840024,"SMA Stella Maris, BSD Serpong"
5102,1.00E+12,34,TEKNOLOGI PANGAN,44,93,0,1.6,1420003,"SMA Cakra Buana, Depok"
5103,3.57E+11,12,AKUNTANSI,44.5,93,0,3.16,31714631,"SMA Gonzaga, Pasar Minggu"
5104,3.28E+11,11,MANAJEMEN,44.85,93,0,2.08,33320004,"SMA Harapan Bangsa, Tangerang"
5105,2.38E+12,81,SISTEM INFORMASI,45,93,0,2.88,23220003,"SMA Lokon St. Nicolaus, Tomohon, Manado"
5106,6.50E+11,22,ARSITEKTUR,45.1,93,0,2.94,3920005,"SMA KRISTEN TRI TUNGGAL, SEMARANG"
5107,3.28E+11,11,MANAJEMEN,45.9,93,0,2.54,1320013,"SMA Global Prestasi, Kalimalang, Bekasi"
5108,3.28E+11,11,MANAJEMEN,45.9,93,0,2.79,31714631,"SMA Gonzaga, Pasar Minggu"
5109,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,45.95,93,0,3.35,33320027,"SMA Citra Kasih, Cimone, Tangerang"
5110,3.28E+11,11,MANAJEMEN,46.35,93,0,2.9,33320038,SMA Mutiara Bangsa
5111,1.50E+12,51,ILMU HUKUM,46.45,93,0,2.93,31418001,"SMA Xaverius, Tanjung Karang"
5112,3.28E+11,11,MANAJEMEN,46.5,93,0,2.68,31840006,"SMAK Penabur Gading Serpong, Tangerang"
5113,7.09E+11,24,DESAIN INTERIOR,46.6,93,0,2.85,33320007,"SMA Islam Al-Azhar, BSD Serpong"
5114,1.00E+12,34,TEKNOLOGI PANGAN,46.9,93,0,2.32,33320065,"SMA BPK Penabur, Bintaro Jaya"
5115,9.73E+11,33,TEKNIK INDUSTRI,47.4,93,0,2.84,31743857,"SMA Katolik Abdi Siswa, Duri Kepa"
5116,3.28E+11,11,MANAJEMEN,47.5,93,0,2.82,31744233,"SMAK 1 BPK Penabur, Tanjung Duren"
5117,1.27E+12,43,HUBUNGAN INTERNASIONAL,47.9,93,0,3.29,31418001,"SMA Xaverius, Tanjung Karang"
5118,1.79E+12,61,SENI MUSIK,48,93,0,2.94,31714244,"SMA Pangudi Luhur, Kebayoran Baru"
5119,3.28E+11,11,MANAJEMEN,48.3,93,0,3.04,31710278,"SMAN 82, Jakarta Selatan"
5120,6.21E+11,21,TEKNIK SIPIL,48.3,93,0,2.89,33320066,"UPH College, Karawaci"
5121,3.28E+11,11,MANAJEMEN,48.4,93,0,1.91,33320004,"SMA Harapan Bangsa, Tangerang"
5122,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,48.45,93,0,2.96,31734678,"SMA Ketapang 1, Jakarta Pusat"
5123,1.79E+12,61,SENI MUSIK,49.4,93,0,3.1,23920004,"SMA Katolik St. Andreas, Palu"
5124,1.50E+12,51,ILMU HUKUM,49.5,93,0,3.16,520025,"SMA Bukit Sion, Jakarta Barat"
5125,6.50E+11,22,ARSITEKTUR,49.7,93,0,3.38,31743819,"SMA Ipeka Puri, Kembangan Selatan"
5126,1.27E+12,43,HUBUNGAN INTERNASIONAL,50.1,93,0,3.6,27920008,"SMA Cahaya Harapan Indonesia Sejahtera, Denpasar"
5127,3.32E+12,113,BIOLOGI,50.1,93,0,3.68,33320057,"SMA Bina Nusantara, Serpong"
5128,3.28E+11,11,MANAJEMEN,50.3,93,0,3.59,31853006,"SMA Karang Turi, Semarang"
5129,6.50E+11,22,ARSITEKTUR,51.15,93,0,3.44,33320066,"UPH College, Karawaci"
5130,6.50E+11,22,ARSITEKTUR,52.85,93,0,2.92,31840006,"SMAK Penabur Gading Serpong, Tangerang"
5131,3.28E+11,11,MANAJEMEN,54.5,93,0,1.82,620034,"SMA Ebenezer Christian Academy, Kelapa Gading"
5132,1.79E+12,61,SENI MUSIK,55.6,93,0,3.44,33530001,SMA LUAR NEGERI
5136,1.21E+12,41,ILMU KOMUNIKASI,32.7,94,0,3.45,33320053,SMK Santa Laurensia
5137,9.00E+12,307,PENDIDIKAN GURU SEKOLAH DASAR,34.09,94,0,3.2,33310030,"SMKN 1, Tangerang"
5138,3.28E+11,11,MANAJEMEN,37.6,94,0,2.91,31743822,"SMA Samaria Kudus, Meruya Utara"
5139,3.28E+11,11,MANAJEMEN,40,94,0,2.76,31753832,"SMA Methodist, Pejagalan"
5140,6.50E+11,22,ARSITEKTUR,40,94,0,3.12,33320066,"UPH College, Karawaci"
5141,6.21E+11,21,TEKNIK SIPIL,40.35,94,0,2.54,31720191,"SMAN 31, Pramuka Jaya"
5142,2.41E+12,82,TEKNIK INFORMATIKA,40.9,94,0,2.75,31743840,"SMA Kristen Almasih, Jelambar"
5143,3.55E+12,121,PSIKOLOGI,41,94,0,2.68,24420003,"SMA Dian Harapan, Makasar"
5144,1.50E+12,51,ILMU HUKUM,41.3,94,0,2.85,31713848,"SMA Islam Al-Azhar 2, Pejaten Barat"
5145,3.32E+12,113,BIOLOGI,41.9,94,0,3.07,31840008,"SMA Dian Harapan, Tangerang"
5146,3.28E+11,11,MANAJEMEN,43.5,94,0,2.94,31753886,"SMA Gandhi School, Pangandaran Ancol"
5147,3.28E+11,11,MANAJEMEN,43.7,94,0,2.73,31840024,"SMA Stella Maris, BSD Serpong"
5148,6.21E+11,21,TEKNIK SIPIL,43.75,94,0,1.78,3920002,"SMA Krista Mitra, Semarang"
