no,nim,kdjur,nmjur,nem,sks,status,ipk,kdsla,nmsla
369,6.50E+11,22,ARSITEKTUR,53.15,12,0,2.83,33320061,"SMA Pahoa, Gading Serpong"
370,1.47E+13,501,ILMU KEPERAWATAN,53.2,12,0,3.62,31840009,"SMAN 1, Tangerang"
371,2.09E+12,71,PENDIDIKAN DOKTER,53.2,12,0,3.35,33320036,"SMA Atisa Dipamkara, Karawaci"
372,1.59E+13,541,MANAJEMEN PERHOTELAN (D4),54.2,12,0,3.67,12820001,"SMA Methodist 2, Medan"
373,2.09E+12,71,PENDIDIKAN DOKTER,54.2,12,0,3.65,31710045,"SMAN 8, Bukit Duri"
374,2.09E+12,71,PENDIDIKAN DOKTER,54.35,12,0,3.46,31412005,"SMA Kalam Kudus, Pematang Siantar"
375,2.09E+12,71,PENDIDIKAN DOKTER,54.8,12,0,3.5,31871001,"SMA Mahatma Gandhi, Bali"
376,2.09E+12,71,PENDIDIKAN DOKTER,55.1,12,0,3.56,33320066,"UPH College, Karawaci"
377,2.09E+12,71,PENDIDIKAN DOKTER,55.25,12,0,3.26,12820001,"SMA Methodist 2, Medan"
378,2.09E+12,71,PENDIDIKAN DOKTER,56.25,12,0,3.77,31871002,"SMAN 1, Bali"
379,2.09E+12,71,PENDIDIKAN DOKTER,57.2,12,0,3.23,27910002,"SMAN 4, Denpasar"
392,1.47E+13,501,ILMU KEPERAWATAN,30.09,13,0,3.18,33320043,SMK STRADA DAAN MOGOT
393,1.21E+12,41,ILMU KOMUNIKASI,33.1,13,0,3.61,31745961,"SMK Pelita 4, Duri Utara"
394,1.47E+13,501,ILMU KEPERAWATAN,34.14,13,0,3.84,33320030,D3 KEPERAWATAN
395,2.09E+12,71,PENDIDIKAN DOKTER,38.2,13,0,3.28,31734086,"SMA Budi Mulia, Mangga Besar"
396,1.50E+12,51,ILMU HUKUM,39.1,13,0,3.7,31753787,"SMA Jubele, Sunter Agung"
397,1.50E+12,51,ILMU HUKUM,39.3,13,0,3.79,31723831,"SMA St. Antonius, Balimester"
398,1.50E+12,51,ILMU HUKUM,40.45,13,0,3.88,31713857,"SMA Islam Al-Azhar 3, Kebayoran Baru"
399,1.50E+12,51,ILMU HUKUM,40.7,13,0,3.75,31714244,"SMA Pangudi Luhur, Kebayoran Baru"
400,1.47E+13,501,ILMU KEPERAWATAN,40.75,13,0,3.06,410001,SMAN 2 Gajahmada
401,1.47E+13,501,ILMU KEPERAWATAN,41.3,13,0,3.21,31753832,"SMA Methodist, Pejagalan"
402,3.28E+11,11,MANAJEMEN,41.95,13,0,3.82,31743851,"SMA Damai, Duri Selatan"
403,1.50E+12,51,ILMU HUKUM,42.2,13,0,3.79,31840022,"SMA Pembangunan Jaya, Tangerang"
404,2.09E+12,71,PENDIDIKAN DOKTER,42.9,13,0,3.6,31851002,"SMA Bopkri 1, Yogyakarta"
405,2.09E+12,71,PENDIDIKAN DOKTER,43,13,0,3.33,33320066,"UPH College, Karawaci"
406,3.57E+11,12,AKUNTANSI,43.6,13,0,3.75,31734675,"SMA St. Theresia, H. Agus Salim"
407,2.09E+12,71,PENDIDIKAN DOKTER,43.8,13,0,3,31840005,"SMA St. Laurensia , Tangerang"
408,2.09E+12,71,PENDIDIKAN DOKTER,43.8,13,0,3.24,31853003,"SMA Kolose Loyola, Semarang"
409,1.79E+12,61,SENI MUSIK,43.85,13,0,3.86,31743857,"SMA Katolik Abdi Siswa, Duri Kepa"
410,1.47E+13,501,ILMU KEPERAWATAN,44.05,13,0,3.14,33320027,"SMA Citra Kasih, Cimone, Tangerang"
411,2.09E+12,71,PENDIDIKAN DOKTER,44.2,13,0,3.48,33320066,"UPH College, Karawaci"
412,1.27E+12,43,HUBUNGAN INTERNASIONAL,44.3,13,0,3.91,31411002,"SMA Don Bosco, Padang"
413,2.09E+12,71,PENDIDIKAN DOKTER,44.5,13,0,3.3,31840025,"SMA Tarakanita 3, Gading Serpong"
414,1.50E+12,51,ILMU HUKUM,44.65,13,0,3.68,31840005,"SMA St. Laurensia , Tangerang"
415,1.50E+12,51,ILMU HUKUM,45.25,13,0,3.18,24420003,"SMA Dian Harapan, Makasar"
